"","road_ID","Y","X"
"18574",3005032,37.5944098,127.0762907
"18848",3005032,37.5946066,127.0777409
"18854",3005032,37.6003017,127.105525
"19635",3005032,37.5948077,127.0784272
"19636",3005032,37.5942536,127.0756399
"19639",3005032,37.5933094,127.0751501
"19954",3005032,37.5932308,127.0750463
"19966",3005032,37.6001107,127.1089005
"20412",3005032,37.6003181,127.1078169
"20684",3005032,37.6002543,127.1072404
"20981",3005032,37.5971004,127.0930145
"21424",3005032,37.6001071,127.104129
"64501",3005032,37.5883572,127.0569586
"64653",3005032,37.5911049,127.0666805
"67626",3005032,37.5939218,127.0742216
"67829",3005032,37.601891,127.1149454
"68144",3005032,37.5909961,127.0662047
"68357",3005032,37.60002,127.1033986
"17613",3197070,37.6167374,127.1025132
"20764",3197070,37.6166167,127.1023402
"20958",3197070,37.6180999,127.1041704
"8871",2000008,37.5680676,127.0503713
"8886",2000008,37.5483906,127.0939355
"9112",2000008,37.5664234,127.0512941
"9328",2000008,37.5611123,127.0644734
"9711",2000008,37.5490792,127.0935964
"9879",2000008,37.5454088,127.1021348
"9880",2000008,37.5455471,127.1020181
"10579",2000008,37.5618524,127.0593299
"10666",2000008,37.5605784,127.0681165
"10677",2000008,37.5613533,127.0628048
"10751",2000008,37.5499901,127.0916773
"10850",2000008,37.5676286,127.0512955
"11389",2000008,37.5616049,127.0610515
"11537",2000008,37.5744328,127.0294434
"11554",2000008,37.5742477,127.0287535
"11916",2000008,37.5734136,127.0273854
"12441",2000008,37.5737039,127.0328553
"12823",2000008,37.5488583,127.0943481
"12927",2000008,37.5742657,127.0313359
"13023",2000008,37.5742475,127.029552
"13187",2000008,37.5616205,127.0665815
"13247",2000008,37.5749638,127.0254476
"13433",2000008,37.5742746,127.0316772
"13924",2000008,37.5517979,127.0909649
"14070",2000008,37.5733017,127.0375352
"14497",2000008,37.5751238,127.0251115
"14498",2000008,37.5736735,127.0317071
"14499",2000008,37.5736908,127.0324567
"14540",2000008,37.574138,127.0291308
"14660",2000008,37.56778,127.0478241
"15636",2000008,37.5736815,127.0320562
"15910",2000008,37.5753444,127.0246531
"16041",2000008,37.5621399,127.0629902
"61606",2000008,37.5337388,127.1370031
"62599",2000008,37.5376469,127.1255439
"62659",2000008,37.536563,127.1278985
"62767",2000008,37.5375569,127.1278885
"62883",2000008,37.5387689,127.125053
"62907",2000008,37.5330815,127.1397024
"63294",2000008,37.5418595,127.1138698
"64185",2000008,37.5691364,127.0503298
"64331",2000008,37.5608349,127.0663697
"64464",2000008,37.5624097,127.0579621
"64793",2000008,37.5359535,127.1488058
"64962",2000008,37.5351052,127.146002
"64983",2000008,37.5412979,127.1444824
"65520",2000008,37.5396347,127.1223582
"65563",2000008,37.5395463,127.1218043
"66556",2000008,37.5456538,127.1713625
