"","PARKING_CODE","PARKING_NAME","ADDR","CAPACITY","PAY_NM","LAT","LNG","RATES","TIME_RATE","ADD_RATES","ADD_TIME_RATE"
"246","892053","도화공영주차장(구)","동작구 상도동 244-183","58","유료","37.49982342","126.9355137","150","5","150","5"
"247","173123","독산1동공영주차장(구)","금천구 독산동 1006-94","66","유료","37.46497295","126.89480923","65","5","65","5"
"248","173142","독산2동 공영주차장(구)","금천구 독산동 1050-17","66","유료","37.46385909","126.90006149","65","5","65","5"
"249","173129","독산3동공영주차장(구)","금천구 독산동 898-24","50","유료","37.4794979","126.9063548","65","5","65","5"
"250","1434175","독산4동 공영주차장(구)","금천구 독산동 187-40","50","유료","37.46943849","126.90450653","65","5","65","5"
"251","789092","동개울주차장(구)","양천구 신정동 919-6","40","유료","37.52726441","126.85563298","150","5","150","5"
"252","1505570","동교동 노상 공영주차장(구)","마포구 서교동 332-1","67","유료","37.55677574","126.92709379","400","5","400","5"
"319","172272","동답 공영주차장(구)","동대문구 답십리동 2-283","67","유료","37.56938534","127.06355487","1000","60","0","0"
"320","1509256","동대문비즈센터앞 이륜자동차 주차장(구)","중구 신당동 200-5 0","9","무료","37.56631869","127.01283079","0","0","0","0"
"329","1371673","동대문소방서노상(구)","동대문구 장안동 434-0","9","유료","37.56365506","127.06694485","500","10","500","10"
"338","1543204","동문굿모닝탑 옆(구)","양천구 신정동 324-3","17","유료","37.51492985","126.86122902","150","5","150","5"
"3551","172540","동방고개(구)","성북구 장위동 230-110","66","유료","37.61469255","127.04100323","150","5","150","5"
"3561","1554749","동부갯 공영주차장(구)","중랑구 신내동 487-1","72","유료","37.59975249","127.09660438","250","5","250","5"
"4281","171945","동산공영주차장(구)","중구 신당동 333-260","83","유료","37.55634366","127.01597608","150","5","150","5"
"4291","173698","동산마을구립주차장(구)","서초구 양재동 370-5","121","유료","37.47009388","127.04432613","500","10","500","10"
"4301","1540938","부영그린(시)","양천구 목동 908-27","18","유료","37.53641064","126.88186236","250","5","250","5"
"446","1441373","북아현 가구단지(구)","서대문구 북아현동 915-0","15","유료","37.55829286","126.96035541","250","5","250","5"
"447","980509","비봉주차장(구)","종로구 구기동 139-9","40","유료","37.61217999","126.9565353","150","5","150","5"
"448","1441366","빙수골장미(구)","동작구 상도동 301-132","64","유료","37.49317759","126.93401758","150","5","150","5"
"4491","1527401","사조냉장-무등실업(구)","금천구 독산동 303-2","28","유료","37.47081771","126.89164997","500","10","500","10"
"477","1452323","사직로1(시)","종로구 내자동 20-0 (내자 R ~ 필운동 227 금고)","15","무료","37.57616947","126.97005497","0","0","0","0"
"492","1452080","사직로2(시)","종로구 내자동 131-0 (내자동131 미유 ~ 내자 R)","9","무료","37.575852","126.97127004","0","0","0","0"
"501","1452742","사직로3(시)","종로구 사직동 240-0 (남양빌딜 ~ 풍림스페이스본 버스정류장)","6","무료","37.57477163","126.96796243","0","0","0","0"
"507","1544255","산업은행앞 노상주차장(구)","영등포구 여의도동 16-0 서울특별시 영등포구시설관리공단","11","유료","37.52771304","126.92050089","500","5","500","5"
"5181","1052723","살곶이(평면)(구)","성동구 사근동 104-0","102","유료","37.55384954","127.04829171","50","5","50","5"
"519","172070","삼각주차장(구)","용산구 한강로1가 231-42","12","유료","37.53409224","126.97336294","1500","30","500","10"
"520","1545969","삼각지역(구)","용산구 한강로1가 138-0","12","유료","37.53463901","126.97374633","250","5","250","5"
"532","1042406","삼성1동 문화센터(구)","강남구 삼성동 161-2","67","유료","37.51434435","127.0626519","400","5","400","5"
"533","1526218","삼성물산~마이크로오피스(구)","금천구 가산동 345-26","28","유료","37.47426295","126.88163705","500","10","500","10"
"561","968503","삼양마을공원지하 공영주차장(구)","강북구 미아동 748-2","95","유료","37.62274538","127.01842794","200","5","200","5"
"562","173870","삼전동공영주차장(구)","송파구 삼전동 175-8","198","유료","37.50025109","127.09589543","50","5","50","5"
"563","1451913","삼청공원앞(구)","종로구 삼청동 25-11","18","유료","37.58750345","126.98310853","500","10","500","10"
"581","1510744","삼풍상가 노상 공영주차장(구)","중구 인현동2가 56-0 0","102","유료","37.56560685","126.99582882","500","5","500","5"
"683","1561417","삼환아파트 앞 노상주차장(구)","영등포구 문래동4가 41-0","55","유료","37.51408355","126.8899035","500","10","500","10"
"738","1527239","삼환아파트(구)","금천구 독산동 1004-6","24","유료","37.46479292","126.89066871","1500","30","500","10"
"7621","1579351","삼희상가주변(구)","동대문구 답십리동 528-0","16","유료","37.56816995","127.05201158","500","10","500","10"
"778","1040011","상계2동 공영주차장(구)","노원구 상계동 373-13","108","유료","37.6567376","127.06753097","150","5","150","5"
"779","1579833","상계역 서측 주택가 공영주차장(구)","노원구 상계동 169-409","10","유료","37.6600464","127.07105592","150","5","150","5"
"780","172385","상봉2동공영주차장(구)","중랑구 상봉동 110-38","83","유료","37.59305102","127.08421599","100","5","100","5"
"781","172881","상암1 공영주차장(구)","마포구 상암동 1621-0","141","유료","37.57727445","126.8972079","200","5","200","5"
"782","173168","상인회주차장(시)","금천구 시흥동 886-13","22","유료","37.45327415","126.90331282","1000","30","0","0"
"783","1452132","새문안로2길(노상주차장)(시)","종로구 신문로2가 106-9 (새문안로 2길(씨티은행 옆 ~ 씨네큐브 맞은편","8","무료","37.56892823","126.97165748","0","0","0","0"
"791","1505872","새물결 노상 공영주차장(구)","마포구 동교동 165-1","17","유료","37.55683887","126.92448525","400","5","400","5"
"808","172683","새장골공영주차장(구)","은평구 불광동 480-352","40","유료","37.62446275","126.9235464","100","5","100","5"
"809","968514","색동공원 공영주차장(구)","강북구 수유동 49-7","80","유료","37.63322721","127.02071053","200","5","200","5"
"810","1423651","서강대역 환승 공영주차장(구)","마포구 신수동 93-35","98","유료","37.55102716","126.93646275","150","5","150","5"
"811","171997","서계동공영주차장(구)","용산구 서계동 276-5","36","유료","37.55163663","126.9643958","150","5","150","5"
"812","1527435","서광모드(A)(구)","금천구 가산동 60-33","3","유료","37.47670244","126.88497043","500","10","500","10"
"815","1526252","서광모드(B)(구)","금천구 가산동 60-33","14","유료","37.47523975","126.88578684","500","10","500","10"
"829","173289","서광주차장(구)","동작구 신대방동 607-45","60","유료","37.48879884","126.90784181","150","5","150","5"
"830","173701","서래마을공영주차장(구)","서초구 반포동 90-7","78","유료","37.49715663","126.99877889","300","10","300","10"
"831","1386536","서린노외(글로벌센터)주차장(시)","종로구 서린동 63-0","45","유료","37.56983402","126.98150586","400","5","400","5"
"832","1525457","서부간선도로(구)","금천구 가산동 557-4","75","유료","37.472067","126.88155393","500","10","500","10"
"907","1579590","서서울(구)","양천구 신월동 267-8","70","유료","37.52814337","126.83194541","50","5","50","5"
"908","1051019","서신초교지하공동주차장(구)","은평구 신사동 193-0","110","유료","37.59220373","126.90669778","100","5","100","5"
"909","1441348","서울마당놀이(구)","송파구 잠실동 47-1","17","유료","37.508919","127.10002585","500","5","500","5"
"910","1511361","서울스퀘어빌딩앞 이륜차 전용주차장(시)","중구 남대문로5가 541-0 0","10","무료","37.55506143","126.97323455","0","0","0","0"
"920","171724","서인사마당공영(구)","종로구 견지동 85-18","45","유료","37.57352191","126.98380407","400","5","400","5"
"921","173573","서초역공영주차빌딩(기계식)(구)","서초구 서초동 1542-12","102","유료","37.49053768","127.00897877","500","10","500","10"
"922","1579832","석계역 앞(구)","노원구 월계동 60-1","29","유료","37.61572968","127.06518388","100","5","100","5"
"923","173880","석촌고분 주차장(구)","송파구 석촌동 248-0","63","유료","37.5019629","127.10229538","50","5","50","5"
"924","171932","성곽공영주차장(구)","중구 신당동 432-2026","46","유료","37.55054127","127.00484324","150","5","150","5"
"925","1413181","성북구 길음동 1070-23(구)","성북구 길음동 1070-23","12","유료","37.60512964","127.02537795","2000","60","0","0"
"926","172923","성산2-1 공영주차장(구)","마포구 성산동 199-0","59","유료","37.56479289","126.9067217","1000","60","500","30"
