"","PARKING_CODE","PARKING_NAME","ADDR","CAPACITY","PAY_NM","LAT","LNG","RATES","TIME_RATE","ADD_RATES","ADD_TIME_RATE"
"949","173139","구로2동 마을공동주차장(구)","구로구 구로동 317-187","81","유료","37.4914815","126.88831207","100","5","100","5"
"950","173077","구로3동마을주차장(구)","구로구 구로동 797-1","20","유료","37.48502453","126.88844294","50","5","50","5"
"951","1432682","구로4동 주택가 공동 주차장(구)","구로구 구로동 741-44","198","유료","37.48968656","126.88695201","100","5","100","5"
"952","173073","구로5동마을공동주차장(구)","구로구 구로동 549-73","81","유료","37.50085864","126.88604808","100","5","100","5"
"953","173093","구로리공원지하주차장(구)","구로구 구로동 139-82","203","유료","37.4908967","126.89160489","150","5","150","5"
"954","984688","구로아트밸리 지하주차장(구)","구로구 구로동 102-0","245","유료","37.4969958","126.88959831","150","5","150","5"
"955","1415917","구룡 공영주차장(구)","금천구 시흥동 964-0","19","유료","37.47789414","126.90275504","65","5","65","5"
"956","172480","마을공원(구)","성북구 장위동 77-79","98","유료","37.61717024","127.05335506","150","5","150","5"
"957","172918","마을마당주차장(구)","양천구 신월동 129-6","114","유료","37.53065845","126.83321825","50","5","50","5"
"958","1423842","마장 축산물시장 서문(구)","성동구 마장동 522-1","130","유료","37.5704876","127.03832741","250","5","250","5"
"959","1535433","마장동거주자우선주차장(구)","성동구 마장동 783-7","124","유료","37.56631207","127.04489477","250","5","250","5"
"46","1052741","마장동축산물(평면)(구)","성동구 마장동 525-0","35","유료","37.57156287","127.03953148","250","5","250","5"
"47","1535927","마장축산물시장 남문(구)","성동구 마장동 805-0","175","유료","37.56753561","127.03994092","250","5","250","5"
"222","1537854","마장축산물시장 현대아파트 앞 노상공영주차(구)","성동구 마장동 84-0","59","유료","37.57052454","127.04241228","250","5","250","5"
"281","173692","마천동1 공영주차장(구)","송파구 마천동 214-0","217","유료","37.49512534","127.1556049","50","5","50","5"
"282","173821","마천동2공영주차장(구)","송파구 마천동 364-5","116","유료","37.49436437","127.1561092","50","5","50","5"
